Quarter,Births Registered (Number),Deaths Registered (Number)
1960Q1,14614,9399
1960Q2,16494,7882
1960Q3,15612,6950
1960Q4,14010,8427
1961Q1,14692,11883
1961Q2,16264,8251
1961Q3,14895,6703
1961Q4,13975,7711
1962Q1,14875,10367
1962Q2,16657,8732
1962Q3,15719,7021
1962Q4,14360,7523
1963Q1,15177,10262
1963Q2,17064,8681
1963Q3,16043,7105
1963Q4,14682,7510
1964Q1,15049,8863
1964Q2,17351,9067
1964Q3,16491,6882
1964Q4,15117,7661
1965Q1,15185,9278
1965Q2,16388,8161
1965Q3,17393,7326
1965Q4,14477,8013
1966Q1,15004,10455
1966Q2,16507,9114
1966Q3,15895,7123
1966Q4,14737,8033
1967Q1,14775,8086
1967Q2,16710,7901
1967Q3,15324,7185
1967Q4,14218,7830
1968Q1,15451,9861
1968Q2,15473,8214
1968Q3,15676,7164
1968Q4,14185,7561
1969Q1,14990,9529
1969Q2,16779,8409
1969Q3,16507,7511
1969Q4,14536,8059
1970Q1,15665,10096
1970Q2,17567,8808
1970Q3,16093,7094
1970Q4,14767,7886
1971Q1,16456,8426
1971Q2,18045,8187
1971Q3,17320,7154
1971Q4,15931,7608
1972Q1,16576,9624
1972Q2,17545,8371
1972Q3,16956,7315
1972Q4,16566,8538
1973Q1,17879,9533
1973Q2,17119,8358
1973Q3,17605,7461
1973Q4,15389,7958
1974Q1,17398,9068
1974Q2,17373,8939
1974Q3,17498,7792
1974Q4,16515,8669
1975Q1,16997,9112
1975Q2,17470,8762
1975Q3,17245,7303
1975Q4,15796,8355
1976Q1,17169,8703
1976Q2,17550,9315
1976Q3,17133,7215
1976Q4,16315,8051
1977Q1,16667,9101
1977Q2,17686,8604
1977Q3,17584,7636
1977Q4,16499,8084
1978Q1,17671,9734
1978Q2,18367,8749
1978Q3,17702,7193
1978Q4,16104,7375
1979Q1,18743,9511
1979Q2,18666,8400
1979Q3,17578,7263
1979Q4,17365,7616
1980Q1,18904,8689
1980Q2,19339,8576
1980Q3,18538,7376
1980Q4,17607,8339
1981Q1,18227,9132
1981Q2,18895,7729
1981Q3,18105,7444
1981Q4,17128,8105
1982Q1,17474,10187
1982Q2,18475,8010
1982Q3,18258,7063
1982Q4,16726,7616
1983Q1,17087,9430
1983Q2,17260,8211
1983Q3,17024,7488
1983Q4,15444,7615
1984Q1,16424,9164
1984Q2,16218,8371
1984Q3,16155,7131
1984Q4,15440,7488
1985Q1,15913,9876
1985Q2,16012,8225
1985Q3,15683,7238
1985Q4,14642,7883
1986Q1,15094,10062
1986Q2,16663,8870
1986Q3,15164,7307
1986Q4,14504,7388
1987Q1,14961,8916
1987Q2,15406,7771
1987Q3,14967,7135
1987Q4,13530,7397
1988Q1,13967,9218
1988Q2,14426,8125
1988Q3,13857,6990
1988Q4,12050,7242
1989Q1,13133,8472
1989Q2,13947,8061
1989Q3,13158,7141
1989Q4,11421,7429
1990Q1,13321,10094
1990Q2,13989,7436
1990Q3,13285,6865
1990Q4,12359,7423
1991Q1,13438,9020
1991Q2,13376,7985
1991Q3,13620,6977
1991Q4,12256,7516
1992Q1,13565,8998
1992Q2,13399,7238
1992Q3,13150,7236
1992Q4,11470,7308
1993Q1,12390,8331
1993Q2,12796,7817
1993Q3,12610,7154
1993Q4,11660,8354
1994Q1,12067,8551
1994Q2,12204,7807
1994Q3,12171,7213
1994Q4,11487,7173
1995Q1,12516,9165
1995Q2,12579,8004
1995Q3,12488,6835
1995Q4,10947,7490
1996Q1,12749,9248
1996Q2,12175,7790
1996Q3,13015,7235
1996Q4,12451,7241
1997Q1,12980,9235
1997Q2,13679,8104
1997Q3,14211,7090
1997Q4,11441,7176
1998Q1,13405,8927
1998Q2,13729,8021
1998Q3,14027,7187
1998Q4,12390,7217
1999Q1,13388,9867
1999Q2,13585,7777
1999Q3,13840,6645
1999Q4,12541,7394
2000Q1,13984,9804
2000Q2,13794,7650
2000Q3,13967,6832
2000Q4,12494,6829
2001Q1,14785,8408
2001Q2,14303,7260
2001Q3,14688,6974
2001Q4,14106,7170
2002Q1,14972,7749
2002Q2,15247,7680
2002Q3,15593,6941
2002Q4,14709,6978
2003Q1,15238,7756
2003Q2,15582,7203
2003Q3,15909,6639
2003Q4,14788,7225
2004Q1,15599,7873
2004Q2,15535,6881
2004Q3,15605,6473
2004Q4,14945,6924
2005Q1,15334,7352
2005Q2,15306,7349
2005Q3,16170,6380
2005Q4,14232,6360
2006Q1,15958,7320
2006Q2,15979,6967
2006Q3,16920,6657
2006Q4,15380,6535
2007Q1,17473,7910
2007Q2,17127,6902
2007Q3,18554,6455
2007Q4,17466,6783
2008Q1,19154,7527
2008Q2,19040,7570
2008Q3,19650,6694
2008Q4,17880,6401
2009Q1,19437,8419
2009Q2,18844,7020
2009Q3,19289,6638
2009Q4,17358,6821
2010Q1,19787,8006
2010Q2,18844,6929
2010Q3,19171,6517
2010Q4,17174,6113
2011Q1,19950,8093
2011Q2,18381,7277
2011Q3,19222,6911
2011Q4,17097,6714
2012Q1,19313,7979
2012Q2,17958,7080
2012Q3,17985,6825
2012Q4,16969,6964
2013Q1,17563,8347
2013Q2,17107,7644
2013Q3,17729,6983
2013Q4,16531,7044
2014Q1,17699,8110
2014Q2,16502,7197
2014Q3,17197,7001
2014Q4,16064,6787
2015Q1,17183,8604
2015Q2,16064,7565
2015Q3,17128,6851
2015Q4,15534,6932
2016Q1,16480,8609
2016Q2,16219,7697
2016Q3,16458,7129
2016Q4,14740,6955
2017Q1,16487,9067
2017Q2,15222,7315
2017Q3,15635,6987
2017Q4,14709,7115
2018Q1,15659,9278
2018Q2,15419,7592
2018Q3,15428,7143
2018Q4,14510,7103
2019Q1,15893,8618
2019Q2,14389,7519
2019Q3,15379,7358
2019Q4,14135,7639
2020Q1,14371,8674
2020Q2,13527,8582
2020Q3,14477,7111
2020Q4,13584,7398
2021Q1,13895,9564
2021Q2,11551,6700
2021Q3,16747,8165
2021Q4,16250,8626
2022Q1,16131,9535
2022Q2,14449,9326
2022Q3,14091,8467
2022Q4,12869,8149
2023Q1,13968,10205
2023Q2,13447,8749
2023Q3,13848,8319
2023Q4,13415,8186
2024Q1,13482,9564
2024Q2,13354,8804
2024Q3,13809,8566
